1040,3300,5140,17500,17280,,160,720,1740,1660,2560,,60,280,360,660,600,,360,360,340,940,1160,,260,440,1620,1920,2140,,160,160,280,160,320
1020,4220,6680,13980,11440,,160,720,1880,2000,1940,,60,200,500,340,600,,340,600,920,1100,1420,,260,440,1340,1700,1320,,160,160,160,400,220
1020,5620,14180,18580,18980,,160,620,1980,2100,2060,,60,260,560,560,640,,340,600,340,840,1480,,240,440,1420,1460,1220,,160,160,160,200,160
1020,6220,11980,12120,18700,,160,960,1860,2700,2640,,60,220,320,460,380,,340,340,560,1180,1400,,260,440,900,1440,1700,,160,160,340,360,160
1020,5360,9280,17240,17300,,160,820,1560,2080,2240,,40,280,600,360,620,,340,880,540,1180,1160,,240,460,1140,1960,1460,,160,160,200,240,340
1020,5960,12080,17900,17340,,160,780,2160,2360,1900,,60,240,660,540,500,,340,600,540,1160,1180,,260,440,260,2000,1440,,160,160,160,220,380
1020,5800,14720,12420,17520,,140,920,2060,1940,1820,,60,280,620,500,560,,380,340,540,860,1160,,260,460,1140,1720,1780,,160,160,300,340,200
1040,5800,4140,6840,12700,,160,680,1900,2240,1760,,40,240,900,300,380,,340,620,360,1140,1160,,280,440,1600,2000,1440,,160,160,180,200,340
1020,6100,4480,10100,8220,,160,700,2040,1880,1900,,60,280,520,520,360,,340,600,580,1160,1380,,260,460,1700,1740,1440,,160,160,200,360,340
1040,5740,11800,18440,11240,,160,780,1840,1920,1720,,40,180,500,340,540,,340,640,560,1160,1480,,260,440,1960,1260,1440,,140,160,360,360,240
1020,5580,4320,9400,22960,,160,740,1900,1880,2140,,60,240,580,540,640,,360,580,340,980,1400,,240,440,1280,1140,1640,,160,160,160,180,180
1020,3420,11780,13400,25440,,160,720,2300,1620,2080,,60,260,600,360,360,,380,620,340,880,1420,,260,460,260,2240,2100,,160,160,160,360,380
1020,5660,11260,11880,12120,,160,760,2180,1960,4220,,60,280,600,320,500,,360,340,580,1180,1440,,260,460,1460,1700,1540,,160,160,200,220,180
1040,4620,13720,14900,31640,,160,800,1780,2060,1960,,60,280,560,340,60,,380,340,560,1120,1720,,260,460,1440,1400,1900,,160,160,340,180,160
1020,4720,12780,17680,31960,,160,680,1800,2300,3300,,60,280,340,640,380,,360,580,560,1160,1460,,260,440,1320,1400,1420,,160,160,180,180,320
1020,3180,10880,13280,33460,,160,680,1980,1840,2180,,40,240,480,580,320,,340,340,540,940,1180,,260,460,1640,1680,1440,,160,160,160,160,560
1000,5560,9980,22160,18960,,160,860,1940,2060,1900,,60,260,300,360,360,,340,480,540,1500,1200,,260,440,2060,1740,1620,,160,160,200,320,180
1040,5620,4020,19580,25920,,160,660,1920,2040,1940,,60,60,600,360,620,,360,360,340,1180,1460,,260,460,1360,1480,1640,,160,160,320,160,200
1020,5500,13500,8000,13280,,160,680,2000,1780,2020,,60,280,560,640,620,,340,340,540,960,1680,,260,460,1460,1940,2060,,160,160,160,360,180
1020,6080,10560,11060,11160,,160,760,1960,2240,1740,,40,180,540,420,520,,360,340,340,1160,2080,,260,440,1260,1440,1540,,160,160,180,180,440